city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
Paris,44,pm25,2025-05-30,19.7,8.9,8.25,-1.0,-1.0,-1.0,2025,5,30,Friday,0,Good,0.3887571960717913,0.10799023028611306,0.25615212527964204,0,0,0
Paris,45,pm25,2025-06-01,18.95,8.9,7.53,-1.0,-1.0,-1.0,2025,6,1,Sunday,0,Good,0.36335929563156105,0.10799023028611306,0.21588366890380312,0,0,0
Paris,43,pm25,2025-06-03,15.55,9.43,10.57,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Good,0.24822214696918388,0.11723656664340544,0.3859060402684563,0,0,0
Paris,45,pm25,2025-06-05,17.34,10.77,12.96,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Good,0.3088384693532001,0.14061409630146543,0.5195749440715883,0,0,0
Paris,43,pm25,2025-06-07,18.96,9.38,10.47,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Good,0.3636979343040975,0.11636427076064203,0.3803131991051454,0,0,0
Paris,46,pm25,2025-06-09,9.96,5.67,13.53,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Good,0.058923129021334245,0.051639916259595256,0.5514541387024607,0,0,0
London,59,pm25,2025-06-03,12.25,6.49,12.21,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Moderate,0.13647138503217066,0.06594556873691557,0.47762863534675615,0,0,0
London,62,pm25,2025-06-05,15.16,7.91,8.43,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Moderate,0.23501523874026412,0.09071877180739707,0.26621923937360176,0,0,0
London,63,pm25,2025-06-07,12.71,6.12,8.7,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Moderate,0.15204876396884523,0.059490579204466154,0.2813199105145413,0,0,0
London,62,pm25,2025-06-09,10.35,6.55,8.49,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Moderate,0.07213003725025394,0.06699232379623168,0.26957494407158833,0,0,0
London,58,pm25,2025-06-11,15.2,7.94,12.6,-1.0,-1.0,-1.0,2025,6,11,Wednesday,0,Moderate,0.2363697934304097,0.09124214933705514,0.49944071588366884,0,0,0
London,63,pm25,2025-06-13,16.31,8.05,12.89,-1.0,-1.0,-1.0,2025,6,13,Friday,0,Moderate,0.2739586860819505,0.0931612002791347,0.5156599552572707,0,0,0
London,59,pm25,2025-06-15,11.92,5.4,13.42,-1.0,-1.0,-1.0,2025,6,15,Sunday,0,Moderate,0.12529630883846932,0.04692951849267272,0.5453020134228187,0,0,0
London,63,pm25,2025-06-17,10.13,4.95,12.66,-1.0,-1.0,-1.0,2025,6,17,Tuesday,0,Moderate,0.0646799864544531,0.03907885554780182,0.5027964205816554,0,0,0
"Berlin, Germany",63,pm25,2025-06-12,13.67,6.46,11.99,-1.0,-1.0,-1.0,2025,6,12,Thursday,0,Moderate,0.18455807653233997,0.06542219120725751,0.465324384787472,0,0,0
"Berlin, Germany",62,pm25,2025-06-14,17.36,9.82,10.04,-1.0,-1.0,-1.0,2025,6,14,Saturday,0,Moderate,0.30951574669827286,0.12404047452896023,0.35626398210290816,0,0,0
"Berlin, Germany",60,pm25,2025-06-16,18.3,8.77,7.38,-1.0,-1.0,-1.0,2025,6,16,Monday,0,Moderate,0.3413477819166949,0.10572226099092812,0.20749440715883666,0,0,0
"Berlin, Germany",60,pm25,2025-06-18,13.26,5.26,8.41,-1.0,-1.0,-1.0,2025,6,18,Wednesday,0,Moderate,0.1706738909583474,0.0444870900209351,0.26510067114093955,0,0,0
"Berlin, Germany",61,pm25,2025-06-20,21.51,10.67,6.37,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.4500507958008805,0.13886950453593858,0.15100671140939595,0,0,0
"Berlin, Germany",63,pm25,2025-06-22,25.92,11.54,12.67,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.5993904503894345,0.1540474528960223,0.5033557046979865,0,0,0
"Berlin, Germany",60,pm25,2025-06-24,31.36,13.18,21.55,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.783609888249238,0.18265875785066293,1.0,0,0,0
Madrid,91,pm25,2025-06-20,33.52,25.51,11.23,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.8567558415171014,0.39776692254012563,0.42281879194630867,0,0,0
Madrid,94,pm25,2025-06-22,27.98,46.24,9.78,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6691500169319335,0.7594207955338451,0.3417225950782997,0,0,0
Madrid,92,pm25,2025-06-24,24.47,51.19,9.33,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.5502878428716559,0.8457780879274249,0.3165548098434004,0,0,0
Madrid,97,pm25,2025-06-26,22.48,21.14,11.8,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Moderate,0.4828987470369116,0.32152826238660154,0.4546979865771812,0,0,0
Madrid,90,pm25,2025-06-28,27.84,14.0,13.05,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Moderate,0.6644090755164238,0.19696441032798323,0.5246085011185682,0,0,0
Madrid,93,pm25,2025-06-30,28.7,11.81,13.09,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Moderate,0.6935320013545545,0.1587578506629449,0.5268456375838926,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-06-26,16.16,7.54,10.6,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Good,0.26887910599390447,0.08426378227494766,0.3875838926174496,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-06-28,23.82,7.36,11.33,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Good,0.5282763291567897,0.0811235170969993,0.42841163310961966,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-06-30,34.11,14.67,13.57,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Good,0.8767355231967491,0.20865317515701326,0.5536912751677852,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-07-02,28.5,14.16,9.93,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.6867592279038266,0.19975575715282623,0.3501118568232662,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-07-04,23.43,9.29,12.23,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.5150694209278699,0.11479413817166781,0.4787472035794183,0,0,0
